[SEND_MOUNT]	[7671 -> 7670]	[{'Site1': 0, 'Site2': 1, 'Site3': 0, 'Site4': 0, 'Site5': 0}]
[SEND_MOUNT]	[7671 -> 7672]	[{'Site1': 0, 'Site2': 2, 'Site3': 0, 'Site4': 0, 'Site5': 0}]
[SEND_MOUNT]	[7671 -> 7673]	[{'Site1': 0, 'Site2': 3, 'Site3': 0, 'Site4': 0, 'Site5': 0}]
[SEND_MOUNT]	[7671 -> 7674]	[{'Site1': 0, 'Site2': 4, 'Site3': 0, 'Site4': 0, 'Site5': 0}]
[SEND_MOUNT]	[7672 -> 7671]	[{'Site1': 0, 'Site2': 0, 'Site3': 2, 'Site4': 0, 'Site5': 0}]
RECEIVED_REQ	[SEND_MOUNT]	[7672 -> 7671]	[{'Site1': 0, 'Site2': 5, 'Site3': 2, 'Site4': 0, 'Site5': 0}]
[SEND_MOUNT]	[7673 -> 7671]	[{'Site1': 0, 'Site2': 0, 'Site3': 0, 'Site4': 2, 'Site5': 0}]
RECEIVED_REQ	[SEND_MOUNT]	[7673 -> 7671]	[{'Site1': 0, 'Site2': 8, 'Site3': 2, 'Site4': 2, 'Site5': 0}]
[SEND_MOUNT]	[7674 -> 7671]	[{'Site1': 0, 'Site2': 0, 'Site3': 0, 'Site4': 0, 'Site5': 2}]
RECEIVED_REQ	[SEND_MOUNT]	[7674 -> 7671]	[{'Site1': 0, 'Site2': 11, 'Site3': 2, 'Site4': 2, 'Site5': 2}]
[RECEIVE_MOUNT]	[7670 -> 7671]	[{'Site1': 6, 'Site2': 1, 'Site3': 0, 'Site4': 0, 'Site5': 0}]
[RECEIVE_MOUNT]	[7672 -> 7671]	[{'Site1': 2, 'Site2': 2, 'Site3': 8, 'Site4': 0, 'Site5': 0}]
[RECEIVE_WRITE]	[7670 -> 7671]	[{'Site1': 17, 'Site2': 7, 'Site3': 18, 'Site4': 3, 'Site5': 3}]
[SEND_WRITE]	[7674 -> 7671]	[{'Site1': 0, 'Site2': 0, 'Site3': 0, 'Site4': 0, 'Site5': 5}]
RECEIVED_REQ	[SEND_WRITE]	[7674 -> 7671]	[{'Site1': 0, 'Site2': 14, 'Site3': 2, 'Site4': 2, 'Site5': 5}]
[SEND_WRITE]	[7674 -> 7671]	[{'Site1': 0, 'Site2': 0, 'Site3': 0, 'Site4': 0, 'Site5': 5}]
